voters,candidates,phi,top_k,overlap_percent
100,3,0.7,2,100.0
100,3,0.8,2,100.0
100,3,0.9,2,100.0
100,3,1.0,2,100.0
100,6,0.7,2,100.0
100,6,0.7,3,100.0
100,6,0.7,4,100.0
100,6,0.7,5,100.0
100,6,0.8,2,100.0
100,6,0.8,3,100.0
100,6,0.8,4,100.0
100,6,0.8,5,100.0
100,6,0.9,2,100.0
100,6,0.9,3,100.0
100,6,0.9,4,100.0
100,6,0.9,5,100.0
100,6,1.0,2,100.0
100,6,1.0,3,100.0
100,6,1.0,4,100.0
100,6,1.0,5,100.0
100,10,0.7,2,100.0
100,10,0.7,3,100.0
100,10,0.7,4,100.0
100,10,0.7,5,100.0
100,10,0.7,6,100.0
100,10,0.7,7,100.0
100,10,0.7,8,100.0
100,10,0.7,9,100.0
100,10,0.8,2,100.0
100,10,0.8,3,100.0
100,10,0.8,4,100.0
100,10,0.8,5,100.0
100,10,0.8,6,100.0
100,10,0.8,7,100.0
100,10,0.8,8,100.0
100,10,0.8,9,100.0
100,10,0.9,2,100.0
100,10,0.9,3,100.0
100,10,0.9,4,100.0
100,10,0.9,5,100.0
100,10,0.9,6,100.0
100,10,0.9,7,100.0
100,10,0.9,8,100.0
100,10,0.9,9,100.0
100,10,1.0,2,100.0
100,10,1.0,3,100.0
100,10,1.0,4,100.0
100,10,1.0,5,100.0
100,10,1.0,6,100.0
100,10,1.0,7,100.0
100,10,1.0,8,100.0
100,10,1.0,9,100.0
100,15,0.7,2,100.0
100,15,0.7,3,100.0
100,15,0.7,4,100.0
100,15,0.7,5,100.0
100,15,0.7,6,100.0
100,15,0.7,7,100.0
100,15,0.7,8,100.0
100,15,0.7,9,100.0
100,15,0.7,10,100.0
100,15,0.7,11,100.0
100,15,0.7,12,100.0
100,15,0.7,13,100.0
100,15,0.7,14,100.0
100,15,0.8,2,100.0
100,15,0.8,3,100.0
100,15,0.8,4,100.0
100,15,0.8,5,100.0
100,15,0.8,6,100.0
100,15,0.8,7,100.0
100,15,0.8,8,100.0
100,15,0.8,9,100.0
100,15,0.8,10,100.0
100,15,0.8,11,100.0
100,15,0.8,12,100.0
100,15,0.8,13,100.0
100,15,0.8,14,100.0
100,15,0.9,2,100.0
100,15,0.9,3,100.0
100,15,0.9,4,100.0
100,15,0.9,5,100.0
100,15,0.9,6,100.0
100,15,0.9,7,100.0
100,15,0.9,8,100.0
100,15,0.9,9,100.0
100,15,0.9,10,100.0
100,15,0.9,11,100.0
100,15,0.9,12,100.0
100,15,0.9,13,100.0
100,15,0.9,14,100.0
100,15,1.0,2,100.0
100,15,1.0,3,100.0
100,15,1.0,4,100.0
100,15,1.0,5,100.0
100,15,1.0,6,100.0
100,15,1.0,7,100.0
100,15,1.0,8,100.0
100,15,1.0,9,100.0
100,15,1.0,10,100.0
100,15,1.0,11,100.0
100,15,1.0,12,100.0
100,15,1.0,13,100.0
100,15,1.0,14,100.0
500,3,0.7,2,100.0
500,3,0.8,2,100.0
500,3,0.9,2,100.0
500,3,1.0,2,100.0
500,6,0.7,2,100.0
500,6,0.7,3,100.0
500,6,0.7,4,100.0
500,6,0.7,5,100.0
500,6,0.8,2,100.0
500,6,0.8,3,100.0
500,6,0.8,4,100.0
500,6,0.8,5,100.0
500,6,0.9,2,100.0
500,6,0.9,3,100.0
500,6,0.9,4,100.0
500,6,0.9,5,100.0
500,6,1.0,2,100.0
500,6,1.0,3,100.0
500,6,1.0,4,100.0
500,6,1.0,5,100.0
500,10,0.7,2,100.0
500,10,0.7,3,100.0
500,10,0.7,4,100.0
500,10,0.7,5,100.0
500,10,0.7,6,100.0
500,10,0.7,7,100.0
500,10,0.7,8,100.0
500,10,0.7,9,100.0
500,10,0.8,2,100.0
500,10,0.8,3,100.0
500,10,0.8,4,100.0
500,10,0.8,5,100.0
500,10,0.8,6,100.0
500,10,0.8,7,100.0
500,10,0.8,8,100.0
500,10,0.8,9,100.0
500,10,0.9,2,100.0
500,10,0.9,3,100.0
500,10,0.9,4,100.0
500,10,0.9,5,100.0
500,10,0.9,6,100.0
500,10,0.9,7,100.0
500,10,0.9,8,100.0
500,10,0.9,9,100.0
500,10,1.0,2,100.0
500,10,1.0,3,100.0
500,10,1.0,4,100.0
500,10,1.0,5,100.0
500,10,1.0,6,100.0
500,10,1.0,7,100.0
500,10,1.0,8,100.0
500,10,1.0,9,100.0
500,15,0.7,2,100.0
500,15,0.7,3,100.0
500,15,0.7,4,100.0
500,15,0.7,5,100.0
500,15,0.7,6,100.0
500,15,0.7,7,100.0
500,15,0.7,8,100.0
500,15,0.7,9,100.0
500,15,0.7,10,100.0
500,15,0.7,11,100.0
500,15,0.7,12,100.0
500,15,0.7,13,100.0
500,15,0.7,14,100.0
500,15,0.8,2,100.0
500,15,0.8,3,100.0
500,15,0.8,4,100.0
500,15,0.8,5,100.0
500,15,0.8,6,100.0
500,15,0.8,7,100.0
500,15,0.8,8,100.0
500,15,0.8,9,100.0
500,15,0.8,10,100.0
500,15,0.8,11,100.0
500,15,0.8,12,100.0
500,15,0.8,13,100.0
500,15,0.8,14,100.0
500,15,0.9,2,100.0
500,15,0.9,3,100.0
500,15,0.9,4,100.0
500,15,0.9,5,100.0
500,15,0.9,6,100.0
500,15,0.9,7,100.0
500,15,0.9,8,100.0
500,15,0.9,9,100.0
500,15,0.9,10,100.0
500,15,0.9,11,100.0
500,15,0.9,12,100.0
500,15,0.9,13,100.0
500,15,0.9,14,100.0
500,15,1.0,2,100.0
500,15,1.0,3,100.0
500,15,1.0,4,100.0
500,15,1.0,5,100.0
500,15,1.0,6,100.0
500,15,1.0,7,100.0
500,15,1.0,8,100.0
500,15,1.0,9,100.0
500,15,1.0,10,100.0
500,15,1.0,11,100.0
500,15,1.0,12,100.0
500,15,1.0,13,100.0
500,15,1.0,14,100.0
1000,3,0.7,2,100.0
1000,3,0.8,2,100.0
1000,3,0.9,2,100.0
1000,3,1.0,2,100.0
1000,6,0.7,2,100.0
1000,6,0.7,3,100.0
1000,6,0.7,4,100.0
1000,6,0.7,5,100.0
1000,6,0.8,2,100.0
1000,6,0.8,3,100.0
1000,6,0.8,4,100.0
1000,6,0.8,5,100.0
1000,6,0.9,2,100.0
1000,6,0.9,3,100.0
1000,6,0.9,4,100.0
1000,6,0.9,5,100.0
1000,6,1.0,2,100.0
1000,6,1.0,3,100.0
1000,6,1.0,4,100.0
1000,6,1.0,5,100.0
1000,10,0.7,2,100.0
1000,10,0.7,3,100.0
1000,10,0.7,4,100.0
1000,10,0.7,5,100.0
1000,10,0.7,6,100.0
1000,10,0.7,7,100.0
1000,10,0.7,8,100.0
1000,10,0.7,9,100.0
1000,10,0.8,2,100.0
1000,10,0.8,3,100.0
1000,10,0.8,4,100.0
1000,10,0.8,5,100.0
1000,10,0.8,6,100.0
1000,10,0.8,7,100.0
1000,10,0.8,8,100.0
1000,10,0.8,9,100.0
1000,10,0.9,2,100.0
1000,10,0.9,3,100.0
1000,10,0.9,4,100.0
1000,10,0.9,5,100.0
1000,10,0.9,6,100.0
1000,10,0.9,7,100.0
1000,10,0.9,8,100.0
1000,10,0.9,9,100.0
1000,10,1.0,2,100.0
1000,10,1.0,3,100.0
1000,10,1.0,4,100.0
1000,10,1.0,5,100.0
1000,10,1.0,6,100.0
1000,10,1.0,7,100.0
1000,10,1.0,8,100.0
1000,10,1.0,9,100.0
1000,15,0.7,2,100.0
1000,15,0.7,3,100.0
1000,15,0.7,4,100.0
1000,15,0.7,5,100.0
1000,15,0.7,6,100.0
1000,15,0.7,7,100.0
1000,15,0.7,8,100.0
1000,15,0.7,9,100.0
1000,15,0.7,10,100.0
1000,15,0.7,11,100.0
1000,15,0.7,12,100.0
1000,15,0.7,13,100.0
1000,15,0.7,14,100.0
1000,15,0.8,2,100.0
1000,15,0.8,3,100.0
1000,15,0.8,4,100.0
1000,15,0.8,5,100.0
1000,15,0.8,6,100.0
1000,15,0.8,7,100.0
1000,15,0.8,8,100.0
1000,15,0.8,9,100.0
1000,15,0.8,10,100.0
1000,15,0.8,11,100.0
1000,15,0.8,12,100.0
1000,15,0.8,13,100.0
1000,15,0.8,14,100.0
1000,15,0.9,2,100.0
1000,15,0.9,3,100.0
1000,15,0.9,4,100.0
1000,15,0.9,5,100.0
1000,15,0.9,6,100.0
1000,15,0.9,7,100.0
1000,15,0.9,8,100.0
1000,15,0.9,9,100.0
1000,15,0.9,10,100.0
1000,15,0.9,11,100.0
1000,15,0.9,12,100.0
1000,15,0.9,13,100.0
1000,15,0.9,14,100.0
1000,15,1.0,2,100.0
1000,15,1.0,3,100.0
1000,15,1.0,4,100.0
1000,15,1.0,5,100.0
1000,15,1.0,6,100.0
1000,15,1.0,7,100.0
1000,15,1.0,8,100.0
1000,15,1.0,9,100.0
1000,15,1.0,10,100.0
1000,15,1.0,11,100.0
1000,15,1.0,12,100.0
1000,15,1.0,13,100.0
1000,15,1.0,14,100.0
